,StopID,Days,Hours,Predict,Target,APE
0,0,10,3,140.97,134,0.052022000000000006
1,1,10,3,328.98,317,0.037791000000000005
2,2,10,3,597.68,579,0.032255
3,3,10,3,755.21,704,0.07274
4,4,10,3,803.31,752,0.068238
5,5,10,3,880.39,827,0.06456
6,6,10,3,945.78,899,0.052033
7,7,10,3,1113.46,1066,0.044517
8,8,10,4,1174.46,1129,0.040263
9,9,10,4,1309.57,1251,0.046822
10,11,10,4,1413.55,1354,0.043979000000000004
11,12,10,4,1444.52,1384,0.043731
12,13,10,4,1672.25,1613,0.036735000000000004
13,14,10,4,1806.26,1744,0.035699
14,15,10,4,1878.53,1811,0.037288999999999996
15,16,10,4,1997.55,1926,0.037147
16,17,10,4,2158.03,2083,0.036022000000000005
17,18,10,4,2310.9,2233,0.034887
18,19,10,4,2445.06,2368,0.03254
19,20,10,4,2708.04,2613,0.036374000000000004
20,21,10,4,2856.63,2765,0.033138
21,22,10,4,2924.7,2838,0.030549
22,0,6,4,131.97,140,0.057388
23,1,6,4,271.67,280,0.029748
24,2,6,4,450.32,471,0.043911
25,3,6,4,612.53,651,0.059101
26,4,6,4,712.69,771,0.075629
27,5,6,4,803.84,861,0.066385
28,6,6,4,904.54,961,0.058753999999999994
29,7,6,4,1064.95,1116,0.045745999999999995
30,8,6,4,1127.91,1181,0.044954
31,9,6,5,1283.62,1341,0.042786000000000005
32,11,6,5,1395.47,1441,0.031599
33,12,6,5,1419.75,1471,0.034838
34,13,6,5,1569.53,1621,0.03175
35,14,6,5,1738.51,1791,0.029306
36,15,6,5,1812.2,1862,0.026746
37,16,6,5,1943.85,1993,0.024663
38,17,6,5,2040.02,2093,0.025312
39,18,6,5,2207.76,2263,0.02441
40,19,6,5,2335.7,2424,0.036427
41,20,6,5,2525.9,2624,0.037384
42,21,6,5,2691.14,2784,0.033355
43,22,6,5,2744.66,2834,0.031524
44,0,6,9,223.41,240,0.069108
45,1,6,9,419.69,440,0.046148
46,2,6,9,534.93,551,0.029167000000000002
47,3,6,9,734.6,751,0.021832
48,4,6,9,786.52,801,0.018081
49,7,6,9,942.54,959,0.017159
50,8,6,10,1007.27,1021,0.013447999999999998
51,9,6,10,1188.53,1201,0.010379000000000001
52,11,6,10,1294.65,1301,0.004878
53,12,6,10,1324.82,1327,0.001644
54,13,6,10,1478.95,1483,0.002729
55,14,6,10,1646.86,1653,0.003714
56,15,6,10,1711.83,1723,0.006481000000000001
57,17,6,10,1874.42,1873,0.0007570000000000001
58,18,6,10,2016.8,2023,0.003065
59,19,6,10,2156.47,2153,0.001611
60,20,6,10,2495.27,2504,0.0034869999999999996
61,21,6,10,2649.53,2645,0.001713
62,22,6,10,2710.82,2706,0.0017809999999999998
63,0,1,4,163.43,161,0.015066
64,1,1,4,270.86,261,0.037762000000000004
65,3,1,5,448.97,420,0.068969
66,4,1,5,499.86,470,0.063523
67,5,1,5,587.6,561,0.047416
68,6,1,5,666.7,640,0.041714999999999995
69,7,1,5,831.6,801,0.038199000000000004
70,8,1,5,905.37,870,0.04066
71,9,1,5,1042.26,1000,0.04226
72,10,1,5,1126.68,1080,0.043224
73,11,1,5,1252.03,1201,0.042487
74,12,1,5,1285.09,1236,0.039715
75,13,1,5,1452.88,1411,0.029679
76,14,1,5,1625.49,1581,0.028143
77,15,1,5,1699.65,1650,0.030091000000000003
78,16,1,5,1837.93,1770,0.038379
79,17,1,5,1953.26,1878,0.040075
80,18,1,5,2074.29,1995,0.039742
81,19,1,5,2182.72,2101,0.038895
82,20,1,5,2440.8,2341,0.042633
83,21,1,5,2614.38,2520,0.037453
84,22,1,5,2689.23,2590,0.038312
85,0,1,10,246.0,240,0.024986
86,1,1,10,402.19,381,0.055628
87,3,1,10,630.94,652,0.032296
88,4,1,10,687.34,702,0.020878999999999998
89,5,1,10,790.96,810,0.023502000000000002
90,6,1,10,884.99,907,0.024265000000000002
91,7,1,10,1045.15,1082,0.034056
92,8,1,10,1104.34,1141,0.032126999999999996
93,9,1,10,1247.1,1282,0.027222000000000003
94,10,1,10,1347.5,1381,0.024259
95,11,1,10,1451.25,1498,0.031211000000000003
96,12,1,10,1478.59,1520,0.027245
97,13,1,10,1687.11,1721,0.01969
98,14,1,10,1765.66,1800,0.019075
99,15,1,10,1863.86,1882,0.009637
100,16,1,10,1982.91,2021,0.018844999999999997
101,17,1,10,2090.64,2112,0.010116
102,18,1,11,2214.08,2242,0.012452
103,19,1,11,2332.81,2352,0.008158
104,20,1,11,2688.14,2692,0.001433
105,21,1,11,2865.4,2852,0.004698
106,22,1,11,2909.71,2892,0.006124
107,0,2,3,119.1,110,0.082699
108,1,2,3,262.6,260,0.009983
109,2,2,3,495.27,511,0.030774
110,3,2,3,666.12,701,0.049751
111,4,2,3,714.24,750,0.04768
