x/d,Reb,Prb,Bo,Cp_bar/Cpb,Dens_w/Dens_b,Nu
0.01953125,3530.358351,2.666923269,3.00E-06,1.137878597,0.921190931,117.0917686
0.05859375,3531.196561,2.667723634,3.00E-06,1.228095201,0.880552872,86.41497177
0.09765625,3532.055193,2.668543395,3.00E-06,1.310621828,0.848138473,74.41264112
0.13671875,3532.918052,2.669366888,3.00E-06,1.399734431,0.817331074,67.64393658
0.17578125,3533.782007,2.67019101,3.00E-06,1.485302249,0.788674171,63.42234821
0.21484375,3534.646416,2.671015088,3.00E-06,1.651696236,0.746398038,60.60318157
0.25390625,3535.511187,2.671838996,3.00E-06,1.797508194,0.70795051,58.48816989
0.29296875,3536.376421,2.672662776,3.00E-06,1.92621256,0.673747741,56.95771391
0.33203125,3537.242112,2.673486373,3.00E-06,2.220745965,0.616552804,55.90299542
0.37109375,3538.108232,2.674309746,3.00E-06,2.477625681,0.564146467,55.20950563
0.41015625,3538.97472,2.675132871,3.00E-06,2.710846919,0.514377536,54.67470849
0.44921875,3539.841525,2.675955779,3.00E-06,2.928278154,0.465970031,54.12868305
0.48828125,3540.708654,2.67677862,3.00E-06,2.973942833,0.451103427,53.50000093
0.52734375,3541.576137,2.6776016,3.00E-06,3.004920996,0.438979027,52.78849988
0.56640625,3542.443969,2.678424884,3.00E-06,3.034501752,0.426932961,52.02127732
0.60546875,3543.312172,2.679248695,3.00E-06,3.062768924,0.414966688,51.22327449
0.64453125,3544.180865,2.680073399,3.00E-06,3.078413367,0.405040508,50.41483963
0.68359375,3545.050166,2.680899304,3.00E-06,3.072199911,0.398887098,49.61227058
0.72265625,3545.920081,2.681726425,3.00E-06,3.066228342,0.392803355,48.82932508
0.76171875,3546.790497,2.682554456,3.00E-06,3.060497829,0.386803445,48.07625533
0.80078125,3547.661275,2.683382981,3.00E-06,3.054999879,0.38089385,47.35439625
0.83984375,3548.532357,2.684211705,3.00E-06,3.04396537,0.376078538,46.66438114
0.87890625,3549.403751,2.6850405,3.00E-06,3.02867711,0.372184389,46.008387
0.91796875,3550.275505,2.685869397,3.00E-06,3.014088532,0.368365831,45.38418678
0.95703125,3551.147614,2.686698481,3.00E-06,3.00016519,0.36462456,44.7857877
0.99609375,3552.020059,2.687527875,3.00E-06,2.986878976,0.360963302,44.2139849
1.03515625,3552.892792,2.688357587,3.00E-06,2.972755113,0.357641712,43.67586179
1.07421875,3553.765613,2.689187263,3.00E-06,2.956011344,0.354980796,43.16547693
1.11328125,3554.638346,2.69001644,3.00E-06,2.940017934,0.352380283,42.67869884
