x/d,Reb,Prb,Bo,Cp_bar/Cpb,Dens_w/Dens_b,Nu
0.01953125,3530.358351,2.666923269,3e-06,1.137878597,0.9211909309999999,117.0917686
0.05859375,3531.1965609999997,2.667723634,3e-06,1.228095201,0.880552872,86.41497177
0.09765625,3532.055193,2.668543395,3e-06,1.310621828,0.848138473,74.41264112
0.13671875,3532.9180520000004,2.6693668880000003,3e-06,1.399734431,0.817331074,67.64393658
0.17578125,3533.7820070000002,2.67019101,3e-06,1.485302249,0.7886741709999999,63.42234821
0.21484375,3534.6464159999996,2.6710150880000003,3e-06,1.651696236,0.7463980379999999,60.60318157
0.25390625,3535.5111869999996,2.671838996,3e-06,1.7975081940000002,0.70795051,58.48816989
0.29296875,3536.376421,2.672662776,3e-06,1.92621256,0.6737477409999999,56.95771391
0.33203125,3537.242112,2.6734863730000002,3e-06,2.220745965,0.616552804,55.90299542
0.37109375,3538.108232,2.674309746,3e-06,2.477625681,0.564146467,55.20950563
0.41015625,3538.97472,2.6751328709999997,3e-06,2.7108469189999997,0.514377536,54.67470849
0.44921875,3539.841525,2.675955779,3e-06,2.9282781539999996,0.465970031,54.12868305
0.48828125,3540.708654,2.67677862,3e-06,2.973942833,0.45110342700000006,53.50000093
0.52734375,3541.5761369999996,2.6776016,3e-06,3.004920996,0.438979027,52.78849988
0.56640625,3542.443969,2.678424884,3e-06,3.0345017519999997,0.426932961,52.02127732
0.60546875,3543.312172,2.679248695,3e-06,3.062768924,0.414966688,51.22327449
0.64453125,3544.180865,2.680073399,3e-06,3.078413367,0.40504050799999997,50.41483963
0.68359375,3545.0501659999995,2.680899304,3e-06,3.0721999110000002,0.398887098,49.61227058
0.72265625,3545.920081,2.681726425,3e-06,3.066228342,0.392803355,48.82932508
0.76171875,3546.790497,2.682554456,3e-06,3.0604978289999996,0.386803445,48.07625533
0.80078125,3547.661275,2.683382981,3e-06,3.054999879,0.38089385,47.35439625
0.83984375,3548.532357,2.684211705,3e-06,3.04396537,0.37607853799999996,46.66438114
0.87890625,3549.403751,2.6850405,3e-06,3.02867711,0.372184389,46.008387
0.91796875,3550.2755049999996,2.685869397,3e-06,3.0140885319999997,0.36836583100000003,45.38418678
0.95703125,3551.147614,2.686698481,3e-06,3.00016519,0.36462456,44.7857877
0.99609375,3552.0200590000004,2.687527875,3e-06,2.9868789760000003,0.36096330200000004,44.2139849
1.03515625,3552.892792,2.688357587,3e-06,2.9727551130000003,0.35764171200000006,43.67586179
1.07421875,3553.7656130000005,2.689187263,3e-06,2.9560113439999998,0.354980796,43.16547693
1.11328125,3554.638346,2.69001644,3e-06,2.9400179339999997,0.35238028299999996,42.67869884
1.15234375,3555.5110240000004,2.690844892,3e-06,2.9247504639999997,0.349842625,42.21504221
1.19140625,3556.3838200000005,2.6916726239999997,3e-06,2.910178984,0.34736902700000005,41.771874
1.23046875,3557.256861,2.6924997060000004,3e-06,2.8962676810000003,0.344959264,41.35219776
1.26953125,3558.1302020000003,2.6933262730000003,3e-06,2.8821131010000003,0.342772354,40.95711208
1.30859375,3559.0038640000002,2.694152518,3e-06,2.8670577839999996,0.340929164,40.58353656
1.34765625,3559.8778030000003,2.694978578,3e-06,2.8526708660000004,0.339135956,40.22951416
1.38671875,3560.7519,2.695804458,3e-06,2.838928282,0.337393472,0.0
1.42578125,3561.6259450000002,2.696629997,3e-06,2.825797193,0.335701045,0.0
1.46484375,3562.4997789999998,2.697455158,3e-06,2.813222455,0.334054671,0.0
1.50390625,3563.3733829999996,2.698280224,3e-06,2.8011468689999997,0.332449567,0.0
1.54296875,3564.246806,2.699105652,3e-06,2.789136441,0.330959147,0.0
